0|iata_code|1|name_eng|2|country_eng
CZS|CZS|Intl. Airpt. Cruzeiro Do Sul|Intl. Airpt. Cruzeiro Do Sul|Brazil|Brazil
CZT|CZT|Carrizo Springs|Carrizo Springs|United States|United States
CZU|CZU|Corozal|Corozal|Colombia|Colombia
CZW|CZW|Czestochowa|Czestochowa|Poland|Poland
CZX|CZX|Changzhou|Changzhou|China|China
CZY|CZY|Cluny|Cluny|Australia|Australia
CZZ|CZZ|Campo|Campo|Haiti|Haiti
DAA|DAA|Davison AAF|Davison AAF|United States|United States
DAB|DAB|Regional|Regional|United States|United States
DAC|DAC|Zia International|Zia International|Bangladesh|Bangladesh
DAD|DAD|Da Nang|Da Nang|Vietnam|Vietnam
DAE|DAE|Daparizo|Daparizo|India|India
DAF|DAF|Daup|Daup|Papua New Guinea|Papua New Guinea
DAG|DAG|Barstow-Daggett|Barstow-Daggett|United States|United States
DAH|DAH|Dathina|Dathina|Yemen|Yemen
DAI|DAI|Darjeeling|Darjeeling|India|India
DAJ|DAJ|Dauan Island|Dauan Island|Australia|Australia
DAK|DAK|Dakhla|Dakhla|Egypt|Egypt
DAL|DAL|Love Field|Love Field|United States|United States
DAM|DAM|International|International|Syria|Syria
DAN|DAN|Municipal|Municipal|United States|United States
DAO|DAO|Dabo|Dabo|Eritrea|Eritrea
DAP|DAP|Darchula|Darchula|Nepal|Nepal
DAR|DAR|International|International|Tanzania|Tanzania
DAS|DAS|Great Bear Lake|Great Bear Lake|Canada|Canada
DAT|DAT|Datong|Datong|China|China
DAU|DAU|Daru|Daru|Papua New Guinea|Papua New Guinea
DAV|DAV|Enrique Malek|Enrique Malek|Panama|Panama
DAX|DAX|Daxian|Daxian|China|China
DAY|DAY|James Cox Dayton Intl|James Cox Dayton Intl|United States|United States
DAZ|DAZ|Darwaz|Darwaz|Afghanistan|Afghanistan
DBA|DBA|Dalbandin|Dalbandin|Pakistan|Pakistan
DBB|DBB|Alalamain Intl.|Alalamain Intl.|Egypt|Egypt
DBD|DBD|Dhanbad|Dhanbad|India|India
DBM|DBM|Debra Marcos|Debra Marcos|Ethiopia|Ethiopia
DBN|DBN|Municipal|Municipal|United States|United States
DBO|DBO|Dubbo|Dubbo|Australia|Australia
DBP|DBP|Debepare|Debepare|Papua New Guinea|Papua New Guinea
DBQ|DBQ|Municipal|Municipal|United States|United States
DBS|DBS|Dubois|Dubois|United States|United States
DBT|DBT|Debra Tabor|Debra Tabor|Ethiopia|Ethiopia
DBU|DBU|Dambulu Oya Tank|Dambulu Oya Tank|Mozambique|Mozambique
DBV|DBV|Dubrovnik|Dubrovnik|Croatia|Croatia
DBY|DBY|Dalby|Dalby|Australia|Australia
DCA|DCA|Reagan Washington National|Reagan Washington National|United States|United States
DCF|DCF|Cane Field|Cane Field|Dominica|Dominica
DCI|DCI|Rafsu Decimomannu|Rafsu Decimomannu|Italy|Italy
DCK|DCK|Dahl Creek Arpt|Dahl Creek Arpt|United States|United States
DCM|DCM|Mazamet|Mazamet|France|France
DCR|DCR|Decatur Hi-Way|Decatur Hi-Way|United States|United States
DCT|DCT|Duncan Town|Duncan Town|Bahamas|Bahamas
DCU|DCU|Pyor|Pyor|United States|United States
DDC|DDC|Dodge City Municipal|Dodge City Municipal|United States|United States
DDG|DDG|Dandong|Dandong|China|China
DDI|DDI|Daydream Is|Daydream Is|Australia|Australia
DDM|DDM|Dodoima|Dodoima|Papua New Guinea|Papua New Guinea
DDN|DDN|Delta Downs|Delta Downs|Australia|Australia
DDP|DDP|Dorado Beach|Dorado Beach|Puerto Rico|Puerto Rico
DDU|DDU|Dadu|Dadu|Pakistan|Pakistan
DEA|DEA|Dera Ghazi Khan|Dera Ghazi Khan|Pakistan|Pakistan
DEB|DEB|Debrecen|Debrecen|Hungary|Hungary
DEC|DEC|Decatur Arpt|Decatur Arpt|United States|United States
DED|DED|Dehra Dun|Dehra Dun|India|India
DEF|DEF|Dezful|Dezful|Iran|Iran
DEH|DEH|Municipal|Municipal|United States|United States
DEI|DEI|Denis Island|Denis Island|Seychelles|Seychelles
DEL|DEL|Indira Gandhi Intl|Indira Gandhi Intl|India|India
DEM|DEM|Dembidollo|Dembidollo|Ethiopia|Ethiopia
DEN|DEN|Denver International|Denver International|United States|United States
DEO|DEO|Hyatt Regency H/P|Hyatt Regency H/P|United States|United States
DEP|DEP|Deparizo|Deparizo|Iran|Iran
DER|DER|Derim|Derim|Papua New Guinea|Papua New Guinea
DES|DES|Desroches|Desroches|Seychelles|Seychelles
DET|DET|Detroit City|Detroit City|United States|United States
DEZ|DEZ|Al Jafrah|Al Jafrah|Syria|Syria
DFI|DFI|Memorial|Memorial|United States|United States
DFP|DFP|Drumduff|Drumduff|Australia|Australia
DFW|DFW|Dallas/Fort Worth International|Dallas/Fort Worth International|United States|United States
DGA|DGA|Dangriga|Dangriga|Belize|Belize
DGB|DGB|Danger Bay|Danger Bay|United States|United States
DGC|DGC|Degahbur|Degahbur|Ethiopia|Ethiopia
DGD|DGD|Dalgaranga|Dalgaranga|Australia|Australia
DGE|DGE|Mudgee|Mudgee|Australia|Australia
DGF|DGF|Bisbee-douglas International|Bisbee-douglas International|United States|United States
DGG|DGG|Daugo|Daugo|Papua New Guinea|Papua New Guinea
DGK|DGK|Dugong|Dugong|Philippines|Philippines
DGL|DGL|Douglas Municipal|Douglas Municipal|Chad|Chad
DGM|DGM|Dongguan|Dongguan|China|China
DGN|DGN|NAF|NAF|Norway|Norway
DGO|DGO|Guadalupe Victoria|Guadalupe Victoria|Mexico|Mexico
DGP|DGP|Daugavpils|Daugavpils|Latvia|Latvia
DGR|DGR|Dargaville|Dargaville|New Zealand|New Zealand
DGT|DGT|Dumaguete|Dumaguete|Philippines|Philippines
DGU|DGU|Dedougou|Dedougou|Burkina Faso|Burkina Faso
DGW|DGW|Converse County|Converse County|United States|United States
DHA|DHA|Dhahran|Dhahran|Saudi Arabia|Saudi Arabia
DHD|DHD|Durham Downs|Durham Downs|Australia|Australia
DHF|DHF|Al Dhafra Military Apt|Al Dhafra Military Apt|United Arab Emirates|United Arab Emirates
DHI|DHI|Dhangarhi|Dhangarhi|Nepal|Nepal
DHL|DHL|Dhala|Dhala|Yemen|Yemen
DHM|DHM|Gaggal Airport|Gaggal Airport|India|India
DHN|DHN|Dothan Arpt|Dothan Arpt|United States|United States
DHR|DHR|De Kooy/Den Helder Airport|De Kooy/Den Helder Airport|Netherlands|Netherlands
DHT|DHT|Dalhart|Dalhart|Djibouti|Djibouti
DIB|DIB|Dibrugarh|Dibrugarh|India|India
DIC|DIC|Dili City Heliport|Dili City Heliport|Indonesia|Indonesia
DIE|DIE|Antsiranana/Arrachart|Antsiranana/Arrachart|Madagascar|Madagascar
DIG|DIG|Diqing|Diqing|China|China
DIJ|DIJ|Dijon|Dijon|France|France
DIK|DIK|Dickinson|Dickinson|United States|United States
DIL|DIL|Presidente Nicolau Lobato International Airport|Presidente Nicolau Lobato International Airport|Indonesia|Indonesia
DIM|DIM|Dimbokro|Dimbokro|Cote D&#039;Ivoire|Cote D&#039;Ivoire
DIN|DIN|Dien Bien|Dien Bien|Vietnam|Vietnam
DIO|DIO|Diomede Island|Diomede Island|United States|United States
DIP|DIP|Diapaga|Diapaga|Burkina Faso|Burkina Faso
DIQ|DIQ|Divinopolis|Divinopolis|Brazil|Brazil
DIR|DIR|Aba Tenna D Yilma|Aba Tenna D Yilma|Ethiopia|Ethiopia
DIS|DIS|Loubomo|Loubomo|Congo|Congo
DIU|DIU|Diu|Diu|India|India
DIV|DIV|Divo|Divo|Cote D&#039;Ivoire|Cote D&#039;Ivoire
DIW|DIW|Mawella Lagoon|Mawella Lagoon|Sri Lanka|Sri Lanka
DIY|DIY|Diyarbakir|Diyarbakir|Turkey|Turkey
DJA|DJA|Djougou|Djougou|Benin|Benin
DJB|DJB|Sultan Taha Syarifudn|Sultan Taha Syarifudn|Indonesia|Indonesia
DJE|DJE|Djerba-zarzis|Djerba-zarzis|Tunisia|Tunisia
DJG|DJG|Inedbirenne|Inedbirenne|Algeria|Algeria
DJJ|DJJ|Sentani|Sentani|Indonesia|Indonesia
DJM|DJM|Djambala|Djambala|Congo|Congo
DJN|DJN|Delta Junction|Delta Junction|United States|United States
DJO|DJO|Daloa|Daloa|Cote D&#039;Ivoire|Cote D&#039;Ivoire
DJU|DJU|Djupivogur|Djupivogur|Iceland|Iceland
DKI|DKI|Dunk Island|Dunk Island|Australia|Australia
DKK|DKK|Dunkirk|Dunkirk|United States|United States
DKR|DKR|Dakar-Yoff-Léopold Sédar Senghor International|Dakar-Yoff-Léopold Sédar Senghor International|Senegal|Senegal
DKS|DKS|Dikson|Dikson|Russian Federation|Russian Federation
DKV|DKV|Docker River|Docker River|Australia|Australia
DLA|DLA|Douala|Douala|Cameroon|Cameroon
DLC|DLC|Dalian|Dalian|China|China
DLD|DLD|Dagali Airport|Dagali Airport|Norway|Norway
DLE|DLE|Tavaux|Tavaux|France|France
DLF|DLF|Laughlin Afb|Laughlin Afb|United States|United States
DLG|DLG|Municipal|Municipal|United States|United States
DLH|DLH|Duluth International|Duluth International|United States|United States
DLI|DLI|Lienkhang|Lienkhang|Vietnam|Vietnam
DLK|DLK|Dulkaninna|Dulkaninna|Australia|Australia
DLL|DLL|Dillon|Dillon|United States|United States
DLM|DLM|Dalaman|Dalaman|Turkey|Turkey
DLN|DLN|Dillon|Dillon|United States|United States
DLO|DLO|Dolomi|Dolomi|United States|United States
DLP|DLP|Disneyland Paris|Disneyland Paris|France|France
DLS|DLS|Columbia Gorge Regional/The Dalles Municipal Airport|Columbia Gorge Regional/The Dalles Municipal Airport|United States|United States
DLU|DLU|Dali|Dali|China|China
DLV|DLV|Delissaville|Delissaville|Australia|Australia
DLY|DLY|Dillons Bay|Dillons Bay|Vanuatu|Vanuatu
DLZ|DLZ|Dalanzadgad|Dalanzadgad|Mongolia|Mongolia
DMA|DMA|Davis Monthan AFB|Davis Monthan AFB|United States|United States
DMB|DMB|Zhambyl|Zhambyl|Kazakhstan|Kazakhstan
DMD|DMD|Doomadgee|Doomadgee|Australia|Australia
DME|DME|Domodedovo|Domodedovo|Russian Federation|Russian Federation
DMN|DMN|Deming|Deming|United States|United States
DMO|DMO|Sedalia|Sedalia|United States|United States
DMR|DMR|Dhamar|Dhamar|Yemen|Yemen
DMT|DMT|Diamantino|Diamantino|Brazil|Brazil
DMU|DMU|Dimapur|Dimapur|India|India
DNA|DNA|Kadena AB|Kadena AB|Japan|Japan
DNB|DNB|Dunbar|Dunbar|Australia|Australia
DNC|DNC|Danane|Danane|Cote D&#039;Ivoire|Cote D&#039;Ivoire
DND|DND|Dundee|Dundee|United Kingdom|United Kingdom
DNE|DNE|Dallas North Airport|Dallas North Airport|United States|United States
DNF|DNF|Martuba|Martuba|Libya|Libya
DNG|DNG|Doongan|Doongan|Philippines|Philippines
DNH|DNH|Dunhuang|Dunhuang|China|China
DNI|DNI|Wad Medani|Wad Medani|Sudan|Sudan
DNK|DNK|Dnepropetrovsk|Dnepropetrovsk|Ukraine|Ukraine
DNL|DNL|Daniel Field|Daniel Field|United States|United States
DNM|DNM|Denham|Denham|Australia|Australia
DNN|DNN|Municipal|Municipal|United States|United States
DNO|DNO|Dianopolis|Dianopolis|Brazil|Brazil
DNP|DNP|Dang|Dang|Nepal|Nepal
DNQ|DNQ|Deniliquin|Deniliquin|Australia|Australia
DNR|DNR|Pleurtuit|Pleurtuit|France|France
DNS|DNS|Municipal|Municipal|United States|United States
DNT|DNT|Downtown Heliport|Downtown Heliport|Colombia|Colombia
DNU|DNU|Dinangat|Dinangat|Papua New Guinea|Papua New Guinea
DNV|DNV|Vermilion County|Vermilion County|United States|United States
DNX|DNX|Galegu|Galegu|Ethiopia|Ethiopia
DNZ|DNZ|Cardak|Cardak|Turkey|Turkey
DOA|DOA|Doany|Doany|Madagascar|Madagascar
DOB|DOB|Dobo Airport|Dobo Airport|Indonesia|Indonesia
DOC|DOC|Dornoch|Dornoch|United Kingdom|United Kingdom
DOD|DOD|Dodoma|Dodoma|Tanzania|Tanzania
DOE|DOE|Djoemoe|Djoemoe|Suriname|Suriname
DOF|DOF|Dora Bay|Dora Bay|United States|United States
DOG|DOG|Dongola|Dongola|Sudan|Sudan
DOH|DOH|Doha|Doha|Qatar|Qatar
DOI|DOI|Doini|Doini|Papua New Guinea|Papua New Guinea
DOK|DOK|Donetsk International Airport|Donetsk International Airport|Ukraine|Ukraine
DOL|DOL|St Gatien|St Gatien|France|France
DOM|DOM|Melville Hall|Melville Hall|Dominica|Dominica
DON|DON|Dos Lagunas|Dos Lagunas|Guatemala|Guatemala
DOO|DOO|Dorobisoro|Dorobisoro|Papua New Guinea|Papua New Guinea
DOP|DOP|Dolpa|Dolpa|Nepal|Nepal
DOR|DOR|Dori|Dori|Burkina Faso|Burkina Faso
DOS|DOS|Dios|Dios|Papua New Guinea|Papua New Guinea
DOU|DOU|Dourados|Dourados|Brazil|Brazil
DOV|DOV|Dover AFB|Dover AFB|United States|United States
DOX|DOX|Dongara|Dongara|Australia|Australia
DOY|DOY|Dongying|Dongying|China|China
DPA|DPA|Dupage County|Dupage County|United States|United States
DPE|DPE|Dieppe|Dieppe|France|France
DPG|DPG|Michael AAF|Michael AAF|United States|United States
DPK|DPK|Deer Park|Deer Park|United States|United States
DPL|DPL|Dipolog|Dipolog|Philippines|Philippines
DPO|DPO|Devonport|Devonport|Australia|Australia
DPS|DPS|Ngurah Rai International|Ngurah Rai International|Indonesia|Indonesia
DPU|DPU|Dumpu|Dumpu|Papua New Guinea|Papua New Guinea
DRA|DRA|Desert Rock|Desert Rock|United States|United States
DRB|DRB|Derby|Derby|Australia|Australia
DRC|DRC|Dirico|Dirico|Angola|Angola
DRD|DRD|Dorunda Station|Dorunda Station|Australia|Australia
DRE|DRE|Drummond Island|Drummond Island|United States|United States
DRF|DRF|Drift River|Drift River|United States|United States
DRG|DRG|Deering|Deering|United States|United States
DRH|DRH|Dabra|Dabra|Indonesia|Indonesia
DRI|DRI|Beauregard Parish|Beauregard Parish|Netherlands|Netherlands
DRJ|DRJ|Drietabbetje|Drietabbetje|Suriname|Suriname
DRM|DRM|Drama|Drama|Greece|Greece
DRN|DRN|Dirranbandi|Dirranbandi|Australia|Australia
DRO|DRO|La Plata|La Plata|United States|United States
DRR|DRR|Durrie|Durrie|Australia|Australia
DRS|DRS|Dresden Arpt|Dresden Arpt|Germany|Germany
DRT|DRT|International|International|United States|United States
DRU|DRU|Drummond|Drummond|United States|United States
DRW|DRW|Darwin|Darwin|Australia|Australia
DRY|DRY|Drysdale River|Drysdale River|Australia|Australia
DSA|DSA|Robin Hood|Robin Hood|United Kingdom|United Kingdom
DSC|DSC|Dschang|Dschang|Cameroon|Cameroon
DSD|DSD|La Desirade|La Desirade|Guadeloupe|Guadeloupe
DSE|DSE|Combolcha|Combolcha|Ethiopia|Ethiopia
DSG|DSG|Dilasag|Dilasag|Philippines|Philippines
DSI|DSI|Destin-Fort Walton Beach Airport|Destin-Fort Walton Beach Airport|United States|United States
DSK|DSK|Dera Ismail Khan|Dera Ismail Khan|Pakistan|Pakistan
DSL|DSL|Daru|Daru|Sierra Leone|Sierra Leone
DSM|DSM|Des Moines International|Des Moines International|United States|United States
DSN|DSN|Dongsheng|Dongsheng|China|China
DSV|DSV|Dansville|Dansville|United States|United States
DTA|DTA|Delta|Delta|United States|United States
DTD|DTD|Datadawai|Datadawai|Indonesia|Indonesia
DTE|DTE|Camarines Norte|Camarines Norte|Philippines|Philippines
DTH|DTH|Death Valley|Death Valley|United States|United States
DTL|DTL|Municipal|Municipal|United States|United States
DTM|DTM|Dortmund|Dortmund|Germany|Germany
DTN|DTN|Shreveport Downtown|Shreveport Downtown|United States|United States
DTR|DTR|Decatur Island|Decatur Island|United States|United States
DTW|DTW|Detroit Metropolitan Wayne County|Detroit Metropolitan Wayne County|United States|United States
DUA|DUA|Eaker|Eaker|United States|United States
DUB|DUB|Dublin|Dublin|Ireland|Ireland
DUC|DUC|Halliburton Field|Halliburton Field|United States|United States
DUD|DUD|Dunedin International|Dunedin International|New Zealand|New Zealand
DUE|DUE|Dundo|Dundo|Angola|Angola
DUF|DUF|Pine Island Airport|Pine Island Airport|United States|United States
DUG|DUG|Bisbee-Douglas Intl|Bisbee-Douglas Intl|United States|United States
DUJ|DUJ|Du Bois-Jefferson County|Du Bois-Jefferson County|United States|United States
DUK|DUK|Dukuduk|Dukuduk|South Africa|South Africa
DUM|DUM|Pinang Kampai|Pinang Kampai|Indonesia|Indonesia
DUN|DUN|Dundas|Dundas|Greenland|Greenland
DUQ|DUQ|Duncan/Quam|Duncan/Quam|Canada|Canada
DUR|DUR|Durban International|Durban International|South Africa|South Africa
DUS|DUS|Düsseldorf International Airport (rhein-ruhr)|Düsseldorf International Airport (rhein-ruhr)|Germany|Germany
DUT|DUT|Emergency Field|Emergency Field|United States|United States
DVA|DVA|Deva|Deva|Romania|Romania
DVK|DVK|Diavik|Diavik|Canada|Canada
DVL|DVL|Devils Lake|Devils Lake|United States|United States
DVN|DVN|Davenport|Davenport|United States|United States
DVO|DVO|Francisco Bangoy International|Francisco Bangoy International|Philippines|Philippines
DVP|DVP|Davenport Downs|Davenport Downs|Australia|Australia
DVR|DVR|Daly River|Daly River|Australia|Australia
DVT|DVT|Phoenix Deer Valley Airport|Phoenix Deer Valley Airport|United States|United States
DWA|DWA|Dwangwa|Dwangwa|Malawi|Malawi
DWB|DWB|Soalala|Soalala|Madagascar|Madagascar
DWD|DWD|Dawadmi|Dawadmi|Saudi Arabia|Saudi Arabia
DWF|DWF|Wright AFB|Wright AFB|Canada|Canada
DWH|DWH|David Wayne Hooks|David Wayne Hooks|United States|United States
DWN|DWN|Downtown Airpark|Downtown Airpark|United States|United States
DWS|DWS|Walt Disney World|Walt Disney World|United States|United States
DXA|DXA|Deux Alpes|Deux Alpes|France|France
DXB|DXB|Dubai|Dubai|United Arab Emirates|United Arab Emirates
DXD|DXD|Dixie|Dixie|Australia|Australia
DXR|DXR|Danbury Municipal Airport|Danbury Municipal Airport|United States|United States
DYA|DYA|Dysart|Dysart|Australia|Australia
DYG|DYG|Dayong|Dayong|China|China
DYL|DYL|Doylestown|Doylestown|United States|United States
DYM|DYM|Diamantina Lakes|Diamantina Lakes|Australia|Australia
DYR|DYR|Ugolniy|Ugolniy|Russian Federation|Russian Federation
DYS|DYS|Dyess AFB|Dyess AFB|United States|United States
DYU|DYU|Dushanbe|Dushanbe|Tajikistan|Tajikistan
DYW|DYW|Daly Waters|Daly Waters|Australia|Australia
DZA|DZA|Dzaoudzi|Dzaoudzi|Comoros|Comoros
DZI|DZI|Codazzi|Codazzi|Colombia|Colombia
DZN|DZN|Zhezhazgan|Zhezhazgan|Kazakhstan|Kazakhstan
DZO|DZO|Santa Bernardina|Santa Bernardina|Uruguay|Uruguay
DZU|DZU|Dazu|Dazu|China|China
EAA|EAA|Eagle|Eagle|United States|United States
EAB|EAB|Abbse|Abbse|Yemen|Yemen
EAE|EAE|Emae|Emae|Vanuatu|Vanuatu
EAL|EAL|Elenak|Elenak|Marshall Islands|Marshall Islands
EAM|EAM|Nejran|Nejran|Saudi Arabia|Saudi Arabia
EAN|EAN|Phifer Field|Phifer Field|United States|United States
EAR|EAR|Kearney|Kearney|United States|United States
EAS|EAS|Donostia - San Sebastian|Donostia - San Sebastian|Spain|Spain
EAT|EAT|Pangborn Field|Pangborn Field|United States|United States
EAU|EAU|Chippewa Valley Regional Airport|Chippewa Valley Regional Airport|United States|United States
EBA|EBA|Marina Di Campo|Marina Di Campo|Italy|Italy
EBB|EBB|Entebbe|Entebbe|Uganda|Uganda
EBD|EBD|El Obeid|El Obeid|Sudan|Sudan
EBG|EBG|El Bagre|El Bagre|Colombia|Colombia
EBJ|EBJ|Esbjerg|Esbjerg|Denmark|Denmark
EBM|EBM|El Borma|El Borma|Tunisia|Tunisia
EBN|EBN|Ebadon|Ebadon|Marshall Islands|Marshall Islands
EBO|EBO|Ebon Airport|Ebon Airport|Marshall Islands|Marshall Islands
EBR|EBR|Downtown|Downtown|Central African Republic|Central African Republic
EBS|EBS|Municipal|Municipal|United States|United States
EBU|EBU|Boutheon|Boutheon|France|France
EBW|EBW|Ebolowa|Ebolowa|Cameroon|Cameroon
ECA|ECA|Emmet County Airport|Emmet County Airport|United States|United States
ECG|ECG|Elizabeth City|Elizabeth City|United States|United States
ECH|ECH|Echuca|Echuca|Australia|Australia
ECN|ECN|Ercan|Ercan|Cyprus|Cyprus
ECO|ECO|El Encanto|El Encanto|Colombia|Colombia
ECR|ECR|El Charco|El Charco|Colombia|Colombia
ECS|ECS|Mondell|Mondell|United States|United States
EDA|EDA|Edna Bay|Edna Bay|United States|United States
EDB|EDB|Eldebba|Eldebba|Sudan|Sudan
EDD|EDD|Erldunda|Erldunda|Australia|Australia
EDE|EDE|Municipal|Municipal|United States|United States
EDF|EDF|Elmendorf Afb|Elmendorf Afb|United States|United States
EDG|EDG|Weide AAF|Weide AAF|United States|United States
EDI|EDI|Turnhouse|Turnhouse|United Kingdom|United Kingdom
EDK|EDK|El Dorado|El Dorado|United States|United States
EDL|EDL|Eldoret|Eldoret|Kenya|Kenya
EDM|EDM|Les Ajoncs|Les Ajoncs|France|France
EDO|EDO|Edremit/korfez|Edremit/korfez|Turkey|Turkey
EDQ|EDQ|Erandique|Erandique|Honduras|Honduras
EDR|EDR|Edward River|Edward River|Australia|Australia
EDW|EDW|Edwards AFB|Edwards AFB|United States|United States
EED|EED|Needles|Needles|United States|United States
EEK|EEK|Eek|Eek|United States|United States
EEN|EEN|Dillant-Hopkins|Dillant-Hopkins|United States|United States
EFB|EFB|Eight Fathom Bight|Eight Fathom Bight|United States|United States
EFD|EFD|Ellington Field|Ellington Field|United States|United States
EFG|EFG|Efogi|Efogi|Papua New Guinea|Papua New Guinea
EFK|EFK|Newport|Newport|United States|United States
EFL|EFL|Kefalonia Istland International Airport|Kefalonia Istland International Airport|Greece|Greece
EFO|EFO|East Fork|East Fork|United States|United States
EFW|EFW|Municipal|Municipal|United States|United States
EGA|EGA|Engati|Engati|Papua New Guinea|Papua New Guinea
EGC|EGC|Roumanieres|Roumanieres|France|France
EGE|EGE|Eagle County|Eagle County|United States|United States
EGI|EGI|Duke Field|Duke Field|United States|United States
EGL|EGL|Neghelli|Neghelli|Ethiopia|Ethiopia
EGM|EGM|Sege|Sege|Solomon Islands|Solomon Islands
EGN|EGN|Geneina|Geneina|Sudan|Sudan
EGO|EGO|Belgorod|Belgorod|Russian Federation|Russian Federation
EGP|EGP|Maverick Co|Maverick Co|United States|United States
EGS|EGS|Egilsstadir|Egilsstadir|Iceland|Iceland
EGV|EGV|Eagle River|Eagle River|United States|United States
EGX|EGX|Egegik|Egegik|United States|United States
EHL|EHL|El Bolson|El Bolson|Argentina|Argentina
EHM|EHM|Cape Newenham|Cape Newenham|United States|United States
EHT|EHT|Rentschler|Rentschler|United States|United States
EIA|EIA|Popondetta|Popondetta|Papua New Guinea|Papua New Guinea
EIB|EIB|Eisenach|Eisenach|Germany|Germany
EIE|EIE|Eniseysk|Eniseysk|Russian Federation|Russian Federation
EIH|EIH|Einasleigh|Einasleigh|Australia|Australia
EIL|EIL|Eielson AFB|Eielson AFB|United States|United States
EIN|EIN|Eindhoven|Eindhoven|Netherlands|Netherlands
EIS|EIS|Beef Island|Beef Island|British Virgin Islands|British Virgin Islands
EIY|EIY|Ein Yahav|Ein Yahav|Israel|Israel
EJA|EJA|Variguies|Variguies|Colombia|Colombia
EJH|EJH|Wedjh|Wedjh|Saudi Arabia|Saudi Arabia
EJT|EJT|Enijet|Enijet|Marshall Islands|Marshall Islands
EKA|EKA|Murray Field|Murray Field|United States|United States
EKB|EKB|Ekibastuz|Ekibastuz|Kazakhstan|Kazakhstan
EKD|EKD|Elkedra|Elkedra|Australia|Australia
EKE|EKE|Ekereku|Ekereku|Guyana|Guyana
EKI|EKI|Municipal|Municipal|United States|United States
EKN|EKN|Elkins|Elkins|United States|United States
EKO|EKO|Elko Regional|Elko Regional|United States|United States
EKT|EKT|Eskilstuna|Eskilstuna|Sweden|Sweden
EKX|EKX|Elizabethtown|Elizabethtown|United States|United States
ELA|ELA|Eagle Lake|Eagle Lake|United States|United States
ELB|ELB|San Bernado|San Bernado|Colombia|Colombia
ELC|ELC|Elcho Island|Elcho Island|Australia|Australia
ELD|ELD|Goodwin Field|Goodwin Field|United States|United States
ELE|ELE|El Real|El Real|Panama|Panama
ELF|ELF|El Fasher|El Fasher|Sudan|Sudan
ELG|ELG|Djamet|Djamet|Algeria|Algeria
ELH|ELH|International|International|Bahamas|Bahamas
ELI|ELI|Elim|Elim|United States|United States
ELJ|ELJ|El Recreo|El Recreo|Colombia|Colombia
ELK|ELK|Municipal|Municipal|United States|United States
ELL|ELL|Ellisras|Ellisras|South Africa|South Africa
ELM|ELM|Elmira Corning Regional|Elmira Corning Regional|United States|United States
ELN|ELN|Bowers Field|Bowers Field|United States|United States
ELO|ELO|Eldorado|Eldorado|Argentina|Argentina
ELP|ELP|El Paso International Airport|El Paso International Airport|United States|United States
ELQ|ELQ|Gassim Regional Airport|Gassim Regional Airport|Saudi Arabia|Saudi Arabia
ELR|ELR|Elelim|Elelim|United States|United States
ELS|ELS|East London|East London|South Africa|South Africa
ELT|ELT|Tour Sinai City|Tour Sinai City|Egypt|Egypt
ELU|ELU|Guemar|Guemar|Algeria|Algeria
ELV|ELV|Elfin Cove SPB|Elfin Cove SPB|United States|United States
ELW|ELW|Ellamar|Ellamar|United States|United States
ELX|ELX|El Tigre|El Tigre|Venezuela|Venezuela
ELY|ELY|Yelland|Yelland|United States|United States
ELZ|ELZ|Municipal|Municipal|United States|United States
EMA|EMA|East Midlands|East Midlands|United Kingdom|United Kingdom
EMB|EMB|Embarkadero|Embarkadero|Argentina|Argentina
EMD|EMD|Emerald|Emerald|Australia|Australia
EME|EME|Emden|Emden|Germany|Germany
EMG|EMG|Empangeni|Empangeni|South Africa|South Africa
EMI|EMI|Emirau|Emirau|Papua New Guinea|Papua New Guinea
EMK|EMK|Emmonak|Emmonak|United States|United States
EML|EML|Emmen|Emmen|Switzerland|Switzerland
EMM|EMM|Kemerer|Kemerer|United States|United States
EMN|EMN|Nema|Nema|Mauritania|Mauritania
EMO|EMO|Emo|Emo|Papua New Guinea|Papua New Guinea
EMP|EMP|Emporia|Emporia|United States|United States
EMS|EMS|Embessa|Embessa|Papua New Guinea|Papua New Guinea
EMT|EMT|El Monte|El Monte|United States|United States
EMX|EMX|El Maiten|El Maiten|Argentina|Argentina
EMY|EMY|El Minya|El Minya|Egypt|Egypt
ENA|ENA|Kenai|Kenai|United States|United States
ENB|ENB|Eneabba West|Eneabba West|Australia|Australia
ENC|ENC|Essey|Essey|France|France
END|END|Vance Afb|Vance Afb|United States|United States
ENE|ENE|Ende|Ende|Indonesia|Indonesia
ENF|ENF|Enontekio|Enontekio|Finland|Finland
ENH|ENH|Enshi|Enshi|China|China
ENI|ENI|El Nido|El Nido|Philippines|Philippines
ENJ|ENJ|El Naranjo|El Naranjo|Guatemala|Guatemala
ENK|ENK|Enniskillen St. Angelo|Enniskillen St. Angelo|United Kingdom|United Kingdom
ENL|ENL|Municipal|Municipal|United States|United States
ENN|ENN|Municipal|Municipal|United States|United States
ENO|ENO|Teniente Prim Alarcon|Teniente Prim Alarcon|Paraguay|Paraguay
ENQ|ENQ|Coronel E Soto Cano AB|Coronel E Soto Cano AB|Honduras|Honduras
ENS|ENS|Twente|Twente|Netherlands|Netherlands
ENT|ENT|Enewetak Island|Enewetak Island|Federated States of Micronesia|Federated States of Micronesia
ENU|ENU|Enugu|Enugu|Nigeria|Nigeria
ENV|ENV|Wendover|Wendover|United States|United States
